0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
10.567320261437908,11.134640522875818,11.875163398692811,12.617647058823529,13.752941176470591,15.190849673202614,16.01437908496732,17.362091503267976,18.982352941176472,19.54705882352941,21.050980392156863,21.925490196078435,23.23660130718954,24.116993464052285,25.375816993464053,25.97647058823529,27.355555555555554,28.478431372549025,29.964705882352945,30.575163398692812,29.8640522875817,33.63986928104575,32.962745098039214,34.72222222222222,34.99738562091503,34.51895424836601,36.95555555555556,36.80718954248366,37.60849673202615,38.78562091503268,39.164052287581704,39.355555555555554,39.540522875817,38.24248366013072,39.08496732026144,40.37124183006536,39.933986928104574,40.773856209150324,42.25686274509803,41.34771241830066,41.889542483660136,41.79477124183007,42.703267973856214,41.831372549019605,42.35228758169934,42.78496732026144,43.20522875816993,44.503921568627455,43.80915032679738,44.30196078431373,43.68235294117647,43.25228758169935,44.97385620915033,43.80065359477124,43.86470588235294,44.21895424836601,43.75098039215686,43.68300653594771,45.673202614379086,42.75555555555556,44.560784313725485,44.4437908496732,44.719607843137254,44.48954248366013,43.76993464052288,43.896732026143795,44.389542483660136,45.16601307189542,46.262091503267975,45.21176470588236,43.111111111111114,45.04117647058823,44.503921568627455,46.831372549019605,46.04509803921568,44.93071895424836,47.04052287581699,44.26274509803922,45.48627450980392,46.35686274509804,45.503921568627455,46.8718954248366,44.89411764705882,43.423529411764704,45.63398692810458,45.77647058823529,44.7718954248366,45.362091503267976,46.777124183006535,45.413071895424835,45.426797385620915,45.074509803921565,45.72156862745098,44.85947712418301,45.3202614379085,45.7359477124183,45.76470588235294,46.64640522875817,45.908496732026144,46.741176470588236
3.4000000000000004,4.1000000000000005,3.6999999999999997,4.7,5.7,6.7,7.000000000000001,8.200000000000001,8.9,11.3,12.6,11.799999999999999,11.0,5.3,10.299999999999999,11.600000000000001,7.3999999999999995,6.9,5.8999999999999995,6.4,7.000000000000001,7.1,13.3,14.6,15.8,12.1,10.5,17.5,28.499999999999996,30.2,22.900000000000002,23.599999999999998,26.6,21.8,19.900000000000002,20.1,20.7,27.6,36.199999999999996,34.4,30.5,33.300000000000004,33.300000000000004,37.7,36.4,34.4,29.7,40.300000000000004,34.9,37.9,39.0,38.1,38.9,38.9,39.4,33.6,37.6,34.4,41.099999999999994,38.9,40.699999999999996,40.9,40.0,38.0,40.699999999999996,40.6,40.5,40.400000000000006,42.699999999999996,39.300000000000004,39.7,41.0,40.8,43.3,42.6,41.099999999999994,43.2,39.800000000000004,41.3,42.199999999999996,42.199999999999996,44.3,41.9,37.1,43.4,42.5,41.4,42.3,42.6,42.3,42.0,41.099999999999994,41.4,42.1,40.400000000000006,42.5,42.6,43.3,42.3,43.0
21.3,21.099999999999998,21.099999999999998,21.7,23.0,25.6,23.9,28.9,29.299999999999997,27.800000000000004,30.0,32.0,34.0,34.4,34.9,36.1,35.6,40.400000000000006,39.900000000000006,39.900000000000006,40.9,43.8,40.2,42.5,42.199999999999996,42.699999999999996,44.6,43.2,43.7,44.800000000000004,44.5,45.9,43.8,42.699999999999996,44.7,45.300000000000004,45.2,44.6,46.7,46.6,45.5,46.1,46.1,46.1,45.9,47.5,48.0,48.199999999999996,48.0,48.3,47.3,47.199999999999996,49.1,48.699999999999996,47.599999999999994,47.599999999999994,47.8,47.3,48.9,46.7,48.3,48.199999999999996,48.199999999999996,47.9,47.599999999999994,47.5,47.8,48.699999999999996,49.5,49.9,46.5,48.0,48.5,49.9,49.4,49.8,50.1,47.8,49.6,49.8,49.5,50.4,48.0,47.099999999999994,48.6,49.8,49.8,48.9,50.0,48.6,49.1,48.6,49.1,49.2,48.1,49.2,48.5,50.2,48.8,49.6
3.237037095689594,3.046530658598848,3.4432330347321543,3.508721489347881,3.2545404949302905,3.3437359145558645,3.3458669910284935,3.2893571006228557,3.368910485952488,3.00550820740438,3.684805714888952,3.606865809654988,3.658489127666391,4.180577419693215,4.38865182663167,4.739705248631626,5.175468642717313,5.53600149675627,5.988621788572618,5.852850052023442,5.0482458531003065,5.076697241797401,4.050447927346946,5.226668945355423,4.681250987939102,4.503996070796457,5.554788182296563,3.8211503687429307,2.8901443461343916,2.650081224569817,3.068426911250178,3.213348158961993,2.493978052025819,2.900500132903779,3.4791399140327335,2.874991860235465,2.369720851674687,2.223515771150038,2.029770736462372,1.8363463642745466,2.115679510388754,2.0020835829604855,1.7567207381138943,1.5983844207924651,1.5711901723915034,1.9623172656886085,1.9379859786778786,1.5658897678605446,1.758280483440457,1.6752512478909458,1.516881805342869,1.5348707112663609,1.6415667329722898,1.6102001958927634,1.404217298242816,1.8970135329807267,1.4713435968555038,1.6316233886256426,1.480063880265432,1.4084195420366428,1.374427286270226,1.3857269659748988,1.4368201466414285,1.5354275297699769,1.2705351127978808,1.4049128691915669,1.321722158353039,1.537809468241576,1.342469022582819,1.5728472652486247,1.2751806513340276,1.3091198166509928,1.3453809797884861,1.250645354360578,1.3219583994952921,1.413810548630373,1.2142636978465868,1.305938290034385,1.4775911691690833,1.3604000135428418,1.4072121585631632,1.293596977188347,1.3557061828187646,1.439034021766552,1.1459598481994622,1.321405703578077,1.3346786113518059,1.27330595063195,1.339471007282285,1.3587620668491498,1.3204775594803586,1.414792504787621,1.300575095341905,1.327951782163497,1.3512211604547484,1.299502890328409,1.2658134684953468,1.3061957006278462,1.2941268897801574,1.2787110243877655
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
5.959266079672022,7.167276722353269,8.19347598653058,8.505520072563021,7.6614278833476535,7.763244333578871,7.399805438770968,6.967770512400109,7.082747797947302,6.869118400424136,6.5432986446455415,6.2486956854427556,6.117604498046674,6.054702247993619,5.55787770268808,5.374203705544566,5.476386745590011,4.902589457019482,4.547747252744787,4.563474372651842,4.213164954640507,3.826176288554871,3.4854469670439077,3.3482140238518805,3.1267004434548173,2.943191439560036,2.749469558965147,2.479258645799425,2.51952547366323,2.3990902681163715,2.2474812312032664,2.1535369008880814,1.997810746722751,1.989008804919673,2.030192387923696,1.8497453221215143,1.846247827829099,1.7852044124353947,1.7190227747025835,1.6786155943278391,1.6930314312479855,1.7036661548240513,1.6523386280458736,1.6229022854200374,1.6017006814744734,1.6111741824305914,1.6087695131862862,1.5232536087160797,1.497978647394118,1.5317756895925485,1.5099868843103545,1.5085838010202048,1.4628215798895343,1.4794183795156044,1.4788210247014861,1.4834816161137,1.5078503559960261,1.4754332354177837,1.4371713794384127,1.5291241361705308,1.4761149853101743,1.448002812192331,1.4363813070284777,1.4555731779360301,1.4766645217471654,1.4653127415226956,1.4940648004494463,1.4541016081018385,1.3749544967202578,1.4289227610943365,1.5368894088346194,1.4630805140975256,1.5007902389975154,1.4033876450482539,1.4096208049549774,1.4582308362200371,1.353131556529625,1.4459304510877022,1.4566834742352852,1.4547825709324258,1.4010790627423455,1.368776298061695,1.4144872232948256,1.4554536061380423,1.4193059913161534,1.3825188024682937,1.4338721456340713,1.4289689696068857,1.4038029475243263,1.397543849558612,1.4276059945299735,1.4596825295117946,1.4327040523828243,1.443571880851696,1.4060038301181168,1.4215310264412875,1.4592508584315482,1.3954437496584222,1.407941378562279,1.4382832612679675
4.137150291442871,3.497611328125,3.3869317817687987,3.200708469390869,3.108488040924072,2.8450453147888184,2.5389202270507814,2.489335388183594,2.2395472946166994,2.285660533905029,2.1940009040832518,2.0498805389404295,2.1775529823303224,2.0714868774414064,1.7183306789398194,1.7071898670196533,1.793098867416382,1.6464722442626953,1.4907727832794189,1.4223057842254638,1.4667254581451417,1.6187925262451173,1.6070201759338378,1.5995987854003906,1.5225979900360107,1.534049451828003,1.297752056121826,1.4231576862335205,1.5419055194854736,1.5095930461883544,1.4600070438385009,1.3285826015472413,1.3319809017181397,1.3068867912292481,1.3047957801818848,1.2686510276794434,1.242799955368042,1.2922878761291503,1.3348234062194824,1.2096288318634034,1.2666200523376465,1.229336483001709,1.2774111213684083,1.3204201889038085,1.273944757461548,1.2393390598297118,1.301309055328369,1.244750883102417,1.1937071533203125,1.2299326515197755,1.24918363571167,1.2716870193481444,1.222765598297119,1.2142241230010986,1.2564292240142823,1.1487584438323974,1.2426669692993164,1.2502397289276124,1.1371824893951417,1.318615743637085,1.2339314250946045,1.1937636985778808,1.2107158737182617,1.1496882991790771,1.2390830936431885,1.3054341831207275,1.3028113441467286,1.2328567161560058,1.16869181060791,1.2041337032318116,1.3202946491241454,1.245956251144409,1.2804550247192383,1.2173820476531982,1.2033614997863769,1.1675447330474853,1.1715678234100342,1.2302263145446777,1.1854813308715821,1.2301197395324708,1.1691176452636718,1.1553175773620605,1.2409760799407958,1.2498069133758545,1.2347218952178955,1.1396415100097657,1.264394775390625,1.2140283088684083,1.1738923454284669,1.18855885887146,1.2099572830200196,1.1983580589294434,1.1838249969482422,1.2156073875427247,1.2326000518798828,1.251831024169922,1.2558053646087646,1.1645799465179443,1.2459508991241455,1.196887300491333
8.556061645507812,16.541415496826172,24.94160583496094,22.264959045410155,23.504507415771485,25.166923095703126,23.24513269042969,21.82457992553711,20.275710845947266,18.15665148925781,20.595234832763673,18.18607177734375,19.282038940429686,17.81279675292969,15.929615356445312,20.28116339111328,21.42156442260742,32.9783037109375,35.55053491210938,34.97578564453125,26.45348175048828,25.202311584472657,14.7843360748291,11.225031311035156,9.187645645141602,9.352463668823242,9.961639923095703,5.050226821899414,7.273711074829102,5.143784324645996,5.559496681213379,4.2339990539550785,4.235287727355957,4.50461116027832,4.984296913146973,6.886085189819336,6.506570175170898,4.189780197143555,2.9118606338500976,2.6847434654235838,2.8856194458007813,3.299882568359375,3.16621586227417,2.395062110900879,2.6539239730834963,2.6103622512817384,2.7194173431396482,1.8469704418182373,2.0381782302856446,2.0478630599975585,1.947697790145874,2.264108646392822,2.0352583541870115,1.876184211730957,1.8764583282470704,2.209509662628174,2.1990646133422853,1.9997321090698241,1.7509375133514404,1.9271153163909913,2.104239845275879,1.8590395965576172,1.7739279308319091,1.7800536670684814,1.7307180461883545,1.877804594039917,1.7779910449981688,1.7336488590240478,1.6314090995788575,1.687997522354126,1.8395436992645264,1.6776590480804443,1.7662239303588867,1.6999851169586182,1.7994108772277833,1.7348171119689941,1.6205631141662598,1.6482441120147706,2.013300178527832,1.7001584758758546,1.6372640933990479,1.6399673290252685,1.630045265197754,1.7366783351898194,1.7357122955322266,1.6975548343658446,1.67445609664917,1.8118887634277343,1.5611085681915282,1.7126546287536621,1.6454338359832763,1.6445296936035156,1.690912977218628,1.7076406002044677,1.6060172538757325,1.6484627304077148,1.7553834133148194,1.6234454097747804,1.6020379104614257,1.7008685493469238
