nepochs,accuracy,loss
1,9.86084452975048,2.303708752377706
2,9.79886436340371,2.3027791029661038
3,10.008797184900832,2.3027208664443197
4,9.924824056301983,2.302710727324336
5,9.828854766474729,2.302722015521195
6,9.776871401151631,2.3027518247078413
7,9.86084452975048,2.3026890403859825
8,9.806861804222649,2.302649174602994
9,10.048784388995522,2.3025844202389414
10,9.94081893793986,2.3025615918506666
11,10.134756877799104,2.3024582377779734
12,11.040467050543826,2.301807404784766
13,14.61332373640435,2.2877845279085887
14,21.307181701855406,2.0451360663312106
15,26.85940499040307,1.86762763419673
16,31.475927703134996,1.7664234236273642
17,36.094449776071656,1.6716261560613348
18,39.55534229046705,1.5915676867130546
19,42.65235124760077,1.5228730040487386
20,45.45945297504799,1.4637933951192992
21,48.40451055662188,1.4005834440428404
22,51.195617402431225,1.3414976959875282
23,53.93873960332694,1.2790810864702373
24,56.70985284708893,1.215900808820645
25,58.825175943698014,1.1562096769429901
26,60.92450415866922,1.1073797432108712
27,62.75191938579655,1.0668332723570573
28,64.46936980166346,1.0203247047431638
29,65.90690978886757,0.9797090433647597
30,67.31845809341011,0.9455519784587512
31,68.64803262955854,0.9144391870735092
32,69.88763595649392,0.8785853130422338
33,71.21721049264235,0.8416630690553901
34,72.16090850927704,0.8132387017563071
35,73.13059820857326,0.7866352299277171
36,74.50215930902111,0.7534787876630393
37,75.53582853486884,0.7235754718402221
38,76.83141394753679,0.6942106660691424
39,77.47120921305182,0.6687259959034331
